# Tx(m) Ty(m) Rx(m) Ry(m) loss(dB)
0.000000 0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 2.800000 0.000000 1000.000000
0.000000 0.000000 5.600000 0.000000 1000.000000
0.000000 0.000000 8.400000 0.000000 1000.000000
0.000000 0.000000 11.200000 0.000000 1000.000000
0.000000 0.000000 14.000000 0.000000 1000.000000
0.000000 0.000000 16.800000 0.000000 1000.000000
0.000000 0.000000 19.600000 0.000000 1000.000000
0.000000 0.000000 22.400000 0.000000 1000.000000
0.000000 0.000000 25.200000 0.000000 1000.000000
0.000000 0.000000 28.000000 0.000000 78.500833

0.000000 0.000000 0.000000 2.400000 47.648450
0.000000 0.000000 2.800000 2.400000 51.379614
0.000000 0.000000 5.600000 2.400000 63.620495
0.000000 0.000000 8.400000 2.400000 71.333929
0.000000 0.000000 11.200000 2.400000 76.155282
0.000000 0.000000 14.000000 2.400000 79.740424
0.000000 0.000000 16.800000 2.400000 82.631758
0.000000 0.000000 19.600000 2.400000 85.066617
0.000000 0.000000 22.400000 2.400000 87.164149
0.000000 0.000000 25.200000 2.400000 88.912787
0.000000 0.000000 28.000000 2.400000 119.012357

0.000000 0.000000 0.000000 4.800000 53.669050
0.000000 0.000000 2.800000 4.800000 54.940998
0.000000 0.000000 5.600000 4.800000 103.030617
0.000000 0.000000 8.400000 4.800000 117.849640
0.000000 0.000000 11.200000 4.800000 160.133270
0.000000 0.000000 14.000000 4.800000 1000.000000
0.000000 0.000000 16.800000 4.800000 166.483032
0.000000 0.000000 19.600000 4.800000 179.611755
0.000000 0.000000 22.400000 4.800000 170.734390
0.000000 0.000000 25.200000 4.800000 179.206406
0.000000 0.000000 28.000000 4.800000 129.827447

0.000000 0.000000 0.000000 7.200000 57.190875
0.000000 0.000000 2.800000 7.200000 66.903056
0.000000 0.000000 5.600000 7.200000 117.110283
0.000000 0.000000 8.400000 7.200000 100.482239
0.000000 0.000000 11.200000 7.200000 140.304993
0.000000 0.000000 14.000000 7.200000 1000.000000
0.000000 0.000000 16.800000 7.200000 166.281174
0.000000 0.000000 19.600000 7.200000 179.361725
0.000000 0.000000 22.400000 7.200000 170.620712
0.000000 0.000000 25.200000 7.200000 119.580754
0.000000 0.000000 28.000000 7.200000 135.179708

0.000000 0.000000 0.000000 9.600000 59.689649
0.000000 0.000000 2.800000 9.600000 72.232559
0.000000 0.000000 5.600000 9.600000 116.798637
